Geo Point;Geo Shape;PTCAR ID;TAF/TAP code;Symbolic name;Abbreviation BTS French short;Abbreviation BTS Dutch short;Abbreviation BTS French complete;Abbreviation BTS Dutch complete;Short name in French;Short name in Dutch;Middle name in French;Middle name in Dutch;Complete name in French;Complete name in Dutch;Classification NL;Classification EN;Classification FR
50.8777742574513, 4.410014404476271;"{""coordinates"": [4.410014404476271, 50.8777742574513], ""type"": ""Point""}";191;BE00191;BOR;BORDET;BORDET;BORDET;BORDET;Bordet;Bordet;Bordet;Bordet;Bordet;Bordet;Stopplaats;Stop in open track;Point d'arrêt
50.9117654559103, 5.41632753993968;"{""coordinates"": [5.41632753993968, 50.9117654559103], ""type"": ""Point""}";324;BE00324;GDP;DIEPENBEEK;DIEPENBEEK;DIEPENBEEK;DIEPENBEEK;Diepenbeek;Diepenbeek;Diepenbeek;Diepenbeek;Diepenbeek;Diepenbeek;Stopplaats;Stop in open track;Point d'arrêt
50.6052596351082, 5.481089013737427;"{""coordinates"": [5.481089013737427, 50.6052596351082], ""type"": ""Point""}";401;BE00401;LFG;FLEMALLE-GDE;FLEMALLE-GDE;FLEMALLE-GRANDE;FLEMALLE-GRANDE;Flémalle-Gde;Flémalle-Gde;Flémalle-Grande;Flémalle-Grande;Flémalle-Grande;Flémalle-Grande;Stopplaats;Stop in open track;Point d'arrêt
51.19721428415948, 4.391779006927757;"{""coordinates"": [4.391779006927757, 51.19721428415948], ""type"": ""Point""}";64;BE00064;FNZD;ANTW-ZUID;ANTW-ZUID;ANTWERPEN-ZUID;ANTWERPEN-ZUID;Anvers-Sud;Antw-Zuid;Anvers-Sud;Antwerpen-Zuid;Anvers-Sud;Antwerpen-Zuid;Stopplaats;Stop in open track;Point d'arrêt
51.08864300170322, 5.234550994995216;"{""coordinates"": [5.234550994995216, 51.08864300170322], ""type"": ""Point""}";143;BE00143;MBV;BEVERLO;BEVERLO;BEVERLO;BEVERLO;Beverlo;Beverlo;Beverlo;Beverlo;Beverlo;Beverlo;Stopplaats;Stop in open track;Point d'arrêt
51.02513426910576, 3.043944762312061;"{""coordinates"": [3.043944762312061, 51.02513426910576], ""type"": ""Point""}";647;BE00647;FTK;KORTEMARK;KORTEMARK;KORTEMARK;KORTEMARK;Kortemark;Kortemark;Kortemark;Kortemark;Kortemark;Kortemark;Stopplaats;Stop in open track;Point d'arrêt
50.81314095122116, 3.97235371963076;"{""coordinates"": [3.97235371963076, 50.81314095122116], ""type"": ""Point""}";67;BE00067;MAP;APPELTERRE;APPELTERRE;APPELTERRE;APPELTERRE;Appelterre;Appelterre;Appelterre;Appelterre;Appelterre;Appelterre;Stopplaats;Stop in open track;Point d'arrêt
50.47176943541776, 3.95653982987247;"{""coordinates"": [3.95653982987247, 50.47176943541776], ""type"": ""Point""}";908;BE00908;LNM;NIMY;NIMY;NIMY;NIMY;Nimy;Nimy;Nimy;Nimy;Nimy;Nimy;Stopplaats;Stop in open track;Point d'arrêt
50.97984015695545, 3.801555019043831;"{""coordinates"": [3.801555019043831, 50.97984015695545], ""type"": ""Point""}";474;BE00474;FOO;GONTRODE;GONTRODE;GONTRODE;GONTRODE;Gontrode;Gontrode;Gontrode;Gontrode;Gontrode;Gontrode;Stopplaats;Stop in open track;Point d'arrêt
50.6606950187532, 5.431053889364091;"{""coordinates"": [5.431053889364091, 50.6606950187532], ""type"": ""Point""}";1202;BE01202;GVX;VOROUX;VOROUX;VOROUX;VOROUX;Voroux;Voroux;Voroux;Voroux;Voroux;Voroux;Stopplaats;Stop in open track;Point d'arrêt
50.368675498227645, 5.021448905914102;"{""coordinates"": [5.021448905914102, 50.368675498227645], ""type"": ""Point""}";75;BE00075;MAS;ASSESSE;ASSESSE;ASSESSE;ASSESSE;Assesse;Assesse;Assesse;Assesse;Assesse;Assesse;Stopplaats;Stop in open track;Point d'arrêt
50.98449587775488, 3.41837146644795;"{""coordinates"": [3.41837146644795, 50.98449587775488], ""type"": ""Point""}";10;BE00010;FAR;AARSELE;AARSELE;AARSELE;AARSELE;Aarsele;Aarsele;Aarsele;Aarsele;Aarsele;Aarsele;Stopplaats;Stop in open track;Point d'arrêt
49.5633161795773, 5.800053519656957;"{""coordinates"": [5.800053519656957, 49.5633161795773], ""type"": ""Point""}";1841;BE01841;MAB;AUBANGE;AUBANGE;AUBANGE;AUBANGE;Aubange;Aubange;Aubange;Aubange;Aubange;Aubange;Stopplaats;Stop in open track;Point d'arrêt
50.61841627390551, 5.497799707765852;"{""coordinates"": [5.497799707765852, 50.61841627390551], ""type"": ""Point""}";619;BE00619;FJU;JEMEPPE-S-M;JEMEPPE-S-M;JEMEPPE-SUR-MEUSE;JEMEPPE-SUR-MEUSE;Jemeppe-s-M;Jemeppe-s-M;Jemeppe-sur-Meuse;Jemeppe-sur-Meuse;Jemeppe-sur-Meuse;Jemeppe-sur-Meuse;Stopplaats;Stop in open track;Point d'arrêt
